word,where,inscription,corpus_id,reading,meaning,confidence,group,allowance,note
SU-KI-RI-TE-I-JA,"§10 n.41, p.21",HT Zb 158b,HTZb158b,(Sybrita + gentilic),the Keretian,,exact,,
A-DI-KI-TE-TE,"Appendix B, pp.36-40",PK Za 11,PKZa11,,Diktu,,exact,,
A-DU-RE-ZA,"Appendix B, pp.36-40",KH 11,KH11,,,,not found,,corpus has: A-DU 𐄁 ZA CYP ¹⁄₁₆ SU 3 CYP+E 𐝇𐝉 VIN ≈ ¹⁄₆ *306 4 CYP ¹⁄₃ *348-CYP | paper states Davis mis-transcribed this; paper reads the tablet as A-DU | ZA
A-DU-KU-MI-NA,"Appendix B, pp.36-40",ZA 10a,ZA10a,,,,exact,,
A-JA,"Appendix B, pp.36-40",SYZa2,SYZa2,,"alive,",,exact,,
A-KU-MI-NA,"Appendix B, pp.36-40",ZA 10a,ZA10a,,,,exact,,
A-MI-DA-O,"Appendix B, pp.36-40",PH(?) 31b,PH(?)31b,,My kinsman(knows),,exact,,
A-MI-DA-U,"Appendix B, pp.36-40",ZA 10a,ZA10a,,My kinsman knows,,exact,,
A-NA-NU-SI-JA-SE,"Appendix B, pp.36-40",HTZb159,HTZb159,,ʿAnānu(’s)—whichgoesout,,exact,,
A-NA-TI-*301-WA-JA,"Appendix B, pp.36-40",IO Za 8,IOZa8,,dwelling,,exact,,
A-PA-RA-NE,"Appendix B, pp.36-40",HT 96a,HT96a,,"Hebrew,",,exact,,
A-RA-TU,"Appendix B, pp.36-40",ZA7,ZA7a,,"earth,",,exact,,other cited inscription(s) -> ZA7b: not found
A-RA-TU-ME,"Appendix B, pp.36-40",HTWc3024,HTWc3024,,earth,,exact,,
A-RI-NI-TA,"Appendix B, pp.36-40",HT 25a,HT25a,,lion,,exact,,
A-SA-SA-RA-ME,"Appendix B, pp.36-40","IOZb10 , PKZa11a–b",IOZb10,,beupright,,exact,,other cited inscription(s) -> PKZa11: different word breaks (corpus splits it as A + SA-SA-RA-ME (no word divider between them))
A-SI-KI-RA,"Appendix B, pp.36-40",KH20,KH20,,strongdrink,,exact,,
A-TA-I-*301-DE-KA,"Appendix B, pp.36-40",ZA Zb 3,ZAZb3,,who answered for you,,exact,,
A-TA-I-*301-WA-E,"Appendix B, pp.36-40",PKZa11a,PKZa11,,dwell,,exact,,
A-TA-I-*301-WA-JA,"Appendix B, pp.36-40",IO Za 2,IOZa2,,I make myself a dwelling,,exact,,
A-TA-NA-TE,"Appendix B, pp.36-40",ZA 10a,ZA10a,,togive,,exact,,
DA-I-PI-TA,"Appendix B, pp.36-40",ZA 10a,ZA10a,,,,exact,,
DA-KU-SE-NE,"Appendix B, pp.36-40",HT 103,HT103,,tolove,,exact,,
DA-KU-SE-NE-TI,"Appendix B, pp.36-40",HT104,HT104,,,,exact,,
DA-MA-TE,"Appendix B, pp.36-40",KYZa2,KYZa2,,tower,,exact,,
DU-RE-ZA-SE,"Appendix B, pp.36-40",ZA10a,ZA10a,,towardDureza,,exact,,
I-DA-MA-TE,"Appendix B, pp.36-40",AR Zf 1–2,ARZf1,,the tower,,exact,,other cited inscription(s) -> ARZf2: exact
I-KU-PA₃-NA-TU-NA-TE,"Appendix B, pp.36-40",APZa2,APZa2,,our,,exact,,
I-NA-JA-PA-QA,"Appendix B, pp.36-40",PK Za 11d,PKZa11,,behold,,exact,,
I-NA-JA-RE-TA,"Appendix B, pp.36-40",APZa2,APZa2,,inreverence,,exact,,
I-PI-NA-MA,"Appendix B, pp.36-40",IOZa2,IOZa2,,presence/face,,exact,,
I-PI-NA-MI-NA,"Appendix B, pp.36-40",PKZa10,PKZa10,,presence,,exact,,
I-TI-TI-KU-NI,"Appendix B, pp.36-40",HT 96a,HT96a,,pour out,,exact,,
I-ZU-RI-NI-TA,"Appendix B, pp.36-40",PH6,PH6,,bull,,exact,,
JA-DI-KI-TE-TE,"Appendix B, pp.36-40",PK Za 15,PKZa15,,O Dikte!,,different word breaks,,corpus writes it inside the longer word JA-DI-KI-TE-TE-DU-PU₂-RE
JA-DI-KI-TU,"Appendix B, pp.36-40",IO Za 2,IOZa2,,O Dikte!,,exact,,
JA-SA-SA-RA-MA-NA,"Appendix B, pp.36-40",KN Za 10,KNZa10,,upright,,different word breaks,,corpus splits it as JA-SA-SA-RA-MA + NA (no word divider between them)
JA-SA-SA-RA-ME,"Appendix B, pp.36-40",PS Za 2,PSZa2,,upright,,exact,,
JA-SU-MA-TU,"Appendix B, pp.36-40",SYZa2a,SYZa2,,release,,different word breaks,,corpus writes it inside the longer word JA-SU-MA-TU-OLIV
JA-TA-I-*301-U-JA,"Appendix B, pp.36-40",AP Za 1,APZa1,,,,exact,,
KI-DA-RO,"Appendix B, pp.36-40",HT 117a,HT117a,,pot,,exact,,
KI-TA-NA-SI-JA-SE,"Appendix B, pp.36-40",PE Zb 3,PEZb3,,linen,,different word breaks,,corpus writes it inside the longer word A-KA-RA-KI-TA-NA-SI-JA-SE-VIR+[?]-ZA
KU-MI-NA-QE,"Appendix B, pp.36-40",HT Wc 3014a–b,HTWc3014,,cumin,,exact,,
KU-PA₃-NA-TU,"Appendix B, pp.36-40",HT47a,HT47a,,,,exact,,
KU-PA₃-NU,"Appendix B, pp.36-40",HT1,HT1,,,,exact,,
MA-KA-I-SE,"Appendix B, pp.36-40",ZA8,ZA8,,customsofficial,,exact,,
MA-KA-I-TA,"Appendix B, pp.36-40",ZA5b,ZA5b,,protection,,exact,,
NA-MA-MA-TI-TI-*319,"Appendix B, pp.36-40",HT Zd 155,HTZd155,,Naamath,,"same word, different spelling","paper numbers the sign *319, corpus numbers it *904",corpus has NA-MA-MA-TI-TI-*904
PA-JA-RE,"Appendix B, pp.36-40",ZA10b,ZA10b,,He-of-Re,,exact,,
PA-RA-NE,"Appendix B, pp.36-40",HT 115a,HT115a,,,,exact,,
RI-RU-MA,"Appendix B, pp.36-40",HT118,HT118,,pig,,exact,,
RI-RU-MA-TI,"Appendix B, pp.36-40",PH(?) 31b,PH(?)31b,,no viable reading,,exact,,
RU-MA-TA,"Appendix B, pp.36-40",HT29,HT29,,height,,exact,,
RU-MA-TA-SE,"Appendix B, pp.36-40",ZA 20,ZA20,,,,exact,,
SI-KI-RA,"Appendix B, pp.36-40",HT 8a,HT8a,,beer,,exact,,
SU-KI-RI-TA,"Appendix B, pp.36-40",PH Wa 32,PHWa32,,,,exact,,
SU-KI-RI-TE-I-JA,"Appendix B, pp.36-40",HTZb158,HTZb158b,,,,exact,,other cited inscription(s) -> HTZb158a: not found
TA-NA-I-*301-TI,"Appendix B, pp.36-40",PSZa2,PSZa2,,answer,,exact,,
TA-NA-I-*301-U-TI-NU,"Appendix B, pp.36-40",IOZa6,IOZa6,,answer,,exact,,
TA-NA-TE,"Appendix B, pp.36-40",ZA10a,ZA10a,,,,exact,,
TI-TI-KU,"Appendix B, pp.36-40",HT 35,HT35,,they disbursed,,exact,,
U-NA-KA-NA-SI,"Appendix B, pp.36-40",KO Za 1c,KOZa1,,"behold, my assembly!",,exact,,
U-NA-RU-KA-JA-SI,"Appendix B, pp.36-40",PKZa12c,PKZa12,,,,exact,,
U-NA-RU-KA-NA-TI,"Appendix B, pp.36-40",PK Za 11b,PKZa11,,,,exact,,
U-TA-I-SE,"Appendix B, pp.36-40",KH 7b,KH7b,,hefound,,exact,,
WI-JA-SU-MA-TI-TI-*319,"Appendix B, pp.36-40",HTZd157+156,HTZd157+156,,re-lease,,different word breaks,"paper numbers the sign *319, corpus numbers it *904",corpus splits it as WI-JA-SU-MA-TI-TI + *904 (no word divider between them)
ZU-RI-NI-MA,"Appendix B, pp.36-40",KNZb52,KNZb52,,bull,,exact,,
*312-TA,"Appendix B, pp.36-40",HT 10b,HT10b,,"tunic, garment",,exact,,
*312-TE-TE,"Appendix B, pp.36-40",HT26a,HT26a,,"tunic,clothitem",,exact,,
